清单序号,原方名,规范方名,出处,主治原文,组成,候选证型,候选证型ID,裁定状态,核定证型,核定证型ID,裁定依据,证据层级,全网资料入口,联网补强状态,需医生最终签字,数据质量备注,逐方网页证据,逐方网页核验
1,柴胡清肝汤,柴胡清肝汤,《医宗金鉴》,柴胡清肝治怒证，宣血疏通解毒良，四物生用柴翘蒡，黄芩栀粉草节防。,柴胡、生地、当归、赤芍、川芎、连翘、牛蒡子、黄芩、生栀子、天花粉、甘草节、防风,肝郁血热；肝热血瘀；肝郁血瘀,TCM-SYNDROME-CA30978056A6；TCM-SYNDROME-5D367182917C；TCM-SYNDROME-B2116A181660,采纳,肝郁血热,TCM-SYNDROME-CA30978056A6,联网纠偏复审:方以柴芩栀翘清肝泻火、四物凉血，治肝郁化火兼血热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%B8%85%E8%82%9D%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%B8%85%E8%82%9D%E6%B1%A4,页面正文命中方名
2,当归建中汤,当归建中汤,《千金翼方》,治产后虚羸不足，腹中疾痛不止，吸吸少气，或若小腹拘急挛痛引腰背，不能饮食，产后一月，日得服四五剂为善，令人强壮内补方。,当归、桂心、甘草、芍药、生姜、大枣,中气亏虚；气虚；元气亏虚,TCM-SYNDROME-D2724F4203A1；TCM-SYNDROME-6C733A6875EB；TCM-SYNDROME-254781E767D4,采纳,中气亏虚,TCM-SYNDROME-D2724F4203A1,主治“虚羸不足，腹中疾痛，少气，不能饮食”，揭示中焦气虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%BB%BA%E4%B8%AD%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%BB%BA%E4%B8%AD%E6%B1%A4,页面正文命中方名
3,升麻葛根汤,升麻葛根汤,《太平惠民和剂局方》,治大人、小儿时气温疫，头痛发热，肢体烦疼及疮疹已发及未发，疑贰之间，并宜服之。,升麻、白芍药、甘草、葛根,热在气分；热炽气分；三焦实热,TCM-SYNDROME-002C311B657B；TCM-SYNDROME-D1C2A9CAE613；TCM-SYNDROME-11394BF7307F,采纳,风热犯表,TCM-SYNDROME-ECED6C781629,联网纠偏复审:辛凉解肌透疹，属表热证。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%8D%87%E9%BA%BB%E8%91%9B%E6%A0%B9%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%8D%87%E9%BA%BB%E8%91%9B%E6%A0%B9%E6%B1%A4,页面正文命中方名
4,黄芪桂枝五物汤,黄芪桂枝五物汤,《金匮要略》,益气温经，和血通痹。主治血痹。肌肤麻木不仁，脉微涩而紧。,黄芪、芍药、桂枝、生姜、大枣,气虚血瘀；气血痹阻,TCM-SYNDROME-C3FAB62E2CDB；TCM-SYNDROME-4E2937DEAC34,采纳,气血痹阻,TCM-SYNDROME-4E2937DEAC34,主治“血痹，肌肤麻木不仁，脉涩而紧”，直指气血闭阻。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%BB%84%E8%8A%AA%E6%A1%82%E6%9E%9D%E4%BA%94%E7%89%A9%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E9%BB%84%E8%8A%AA%E6%A1%82%E6%9E%9D%E4%BA%94%E7%89%A9%E6%B1%A4,页面正文命中方名
5,六和汤,六和汤,《太平惠民和剂局方》,治心脾不调，气不升降，霍乱转筋，呕吐泄泻，寒热交作，痰喘咳嗽，胸膈痞满，头目昏痛，肢体浮肿，嗜卧倦怠，小便赤涩，并伤寒阴阳不分，冒暑伏热烦闷，或成痢疾，中酒烦渴畏食。妇人胎前、产后，并宜服之。,缩砂仁、半夏、杏仁、人参、甘草、赤茯苓、藿香叶、白扁豆、木瓜、香薷、厚朴,心脾湿热；痰热蕴脾,TCM-SYNDROME-9B7FC6986E76；TCM-SYNDROME-2D3F52BCB102,采纳,暑湿内伏,TCM-SYNDROME-B6EF81AE1273,联网纠偏复审:祛暑化湿、健脾和胃，暑湿伤脾为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%85%AD%E5%92%8C%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%85%AD%E5%92%8C%E6%B1%A4,页面正文命中方名
6,薏苡附子败酱散,薏苡附子败酱散,《金匮要略》,肠痈之为病，其身甲错，腹皮急，按之濡，如肿状，腹无积聚，身无热，脉数，此为腹内有痈脓，薏苡附子败酱散主之。,薏苡仁、附子、败酱,寒湿化热；寒热错杂,TCM-SYNDROME-24874154AD02；TCM-SYNDROME-BBEC651B5E26,采纳,寒热错杂,TCM-SYNDROME-BBEC651B5E26,身无热而脉数，痈脓为热，用附子温阳，属寒热错杂。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%96%8F%E8%8B%A1%E9%99%84%E5%AD%90%E8%B4%A5%E9%85%B1%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%96%8F%E8%8B%A1%E9%99%84%E5%AD%90%E8%B4%A5%E9%85%B1%E6%95%A3,页面正文命中方名
7,柴胡桂枝干姜汤,柴胡桂枝干姜汤,《伤寒论》,伤寒五六日，已发汗而复下之，胸胁满微结，小便不利，渴而不呕，但头汗出，往来寒热心烦者，此为未解也，柴胡桂枝干姜汤主之。,柴胡、桂枝、干姜、瓜蒌根、黄芩、牡蛎、甘草,寒热错杂,TCM-SYNDROME-BBEC651B5E26,采纳,寒热错杂,TCM-SYNDROME-BBEC651B5E26,往来寒热心烦为热，小便不利为饮，寒热错杂。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%A1%82%E6%9E%9D%E5%B9%B2%E5%A7%9C%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%A1%82%E6%9E%9D%E5%B9%B2%E5%A7%9C%E6%B1%A4,页面正文命中方名
8,大黄黄连泻,大黄黄连泻心汤,《伤寒论》,心下痞，按之濡，其脉关上浮者，大黄黄连泻心汤主之。,大黄、黄连,心热,TCM-SYNDROME-E1E796C992DE,采纳,心火炽盛；血热妄行,heart_fire_hyperactivity；TCM-SYNDROME-ED72C4180A8C,"联网纠偏复审:大黄黄连泻火凉血，心火亢盛血热妄行为本。（清单方名「大黄黄连泻」为截断,正名大黄黄连泻心汤。）",A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%BB%84%E8%BF%9E%E6%B3%BB%E5%BF%83%E6%B1%A4,经典名方定向联网复审,是,清单方名换行截断，已正名,https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%BB%84%E8%BF%9E%E6%B3%BB%E5%BF%83%E6%B1%A4,页面正文命中方名
9,瓜蒌桂枝汤,瓜蒌桂枝汤,《金匮要略》,太阳病，其证备，身体强，然，脉反沉迟，此为痉，瓜蒌桂枝汤主之。,瓜蒌根、桂枝、芍药、甘草、生姜、大枣,太阳中风,TCM-SYNDROME-0667E76ADFB4,采纳,太阳中风,TCM-SYNDROME-0667E76ADFB4,原文“太阳病，其证备”即太阳中风证基础。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
10,桂枝麻黄各半汤,桂枝麻黄各半汤,《伤寒论》,太阳病，得之8-9日，如疟状，发热恶寒，热多寒少，其人不呕，清便欲自可，1日2-3度发，面色反有热色，身痒者。痘疮热气如灼，表郁难以见点，或见点稠密，风疹交出，或痘不起胀，喘咳咽痛者。,桂枝、芍药、生姜、甘草、麻黄、大枣、杏仁,风寒化热,TCM-SYNDROME-6055395D9C88,采纳,风寒化热,TCM-SYNDROME-6055395D9C88,如疟热多寒少，面有热色，表郁化热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%A1%82%E6%9E%9D%E9%BA%BB%E9%BB%84%E5%90%84%E5%8D%8A%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%A1%82%E6%9E%9D%E9%BA%BB%E9%BB%84%E5%90%84%E5%8D%8A%E6%B1%A4,页面正文命中方名
