"方名","出处","推导流派","确认方式","逐首确认(是/否/留空)"
"七福饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"三仁汤","《温病条辨》","温病思路","规则级",""
"三子养亲汤","《金匮要略》","经方思路","规则级",""
"三物备急丸","《金匮要略》","经方思路","规则级",""
"三甲复脉汤","《温病条辨》","温病思路","规则级",""
"丹溪治湿痰方","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"举元煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"乌头桂枝汤","《金匮要略》","经方思路","规则级",""
"乌头汤","《金匮要略》","经方思路","规则级",""
"乌梅丸","《伤寒论》","经方思路","规则级",""
"二妙丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"二妙散","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"五味消毒饮合大黄牡丹汤","《医宗金鉴》、《金匮要略》","经方思路","规则级",""
"五苓散","《伤寒论》","经方思路","规则级",""
"人参健脾丸（汤）","《景岳全书》《证治准绳·类方》","温补/扶阳思路","逐首勾选",""
"人参归脾丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
"代赭旋复汤","《伤寒论》","经方思路","规则级",""
"何人饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"保和丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"保阴煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"八珍益母汤","《景岳全书》","温补/扶阳思路","逐首勾选",""
"六味回阳饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"加减一阴煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"加减复脉汤","《温病条辨》","温病思路","规则级",""
"加减葳蕤汤","《重订通俗伤寒论》","经方思路","规则级",""
"加味二妙散","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"化斑汤","《温病条辨》","温病思路","规则级",""
"化阴煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"十枣汤","《伤寒论》","经方思路","规则级",""
"半夏厚朴汤","《金匮要略》","经方思路","规则级",""
"半夏泻心汤","《伤寒论》","经方思路","规则级",""
"半苓汤","《温病条辨》","温病思路","规则级",""
"厚朴七物汤","《金匮要略》","经方思路","规则级",""
"厚朴三物汤","《金匮要略》","经方思路","规则级",""
"厚朴麻黄汤","《金匮要略》","经方思路","规则级",""
"右归丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
"右归饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"吴茱萸汤","《伤寒论》","经方思路","规则级",""
"咳血方","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"四味回阳饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"四逆散","《伤寒论》","经方思路","规则级",""
"四逆汤","《伤寒论》","经方思路","规则级",""
"回阳救急汤","《伤寒论》","经方思路","规则级",""
"固阴煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"增液承气汤","《温病条辨》","温病思路","规则级",""
"增液汤","《温病条辨》","温病思路","规则级",""
"大半夏汤","《金匮要略》","经方思路","规则级",""
"大安丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"大定风珠","《温病条辨》","温病思路","规则级",""
"大建中汤","《金匮要略》","经方思路","规则级",""
"大承气汤","《伤寒论》","经方思路","规则级",""
"大柴胡汤","《金匮要略》","经方思路","规则级",""
"大营煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"大补元煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"大补阴丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"大陷胸汤","《伤寒论》","经方思路","规则级",""
"大青龙汤","《伤寒论》","经方思路","规则级",""
"大黄䗪虫丸","《金匮要略·血痹虚劳病脉证并治第六》","经方思路","规则级",""
"大黄牡丹汤","《金匮要略》","经方思路","规则级",""
"大黄蟅虫丸","《金匮要略》","经方思路","规则级",""
"大黄附子汤","《金匮要略》","经方思路","规则级",""
"大黄黄连泻心汤","《伤寒论》","经方思路","规则级",""
"安宫牛黄丸","《温病条辨》","温病思路","规则级",""
"宣清导浊汤","《温病条辨》","温病思路","规则级",""
"宣痹汤","《温病条辨》","温病思路","规则级",""
"射干麻黄汤","《金匮要略》","经方思路","规则级",""
"小建中汤","《伤寒论》","经方思路","规则级",""
"小承气汤","《伤寒论》","经方思路","规则级",""
"小柴胡汤","《伤寒论》","经方思路","规则级",""
"小营煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"小陷胸汤","《伤寒论》","经方思路","规则级",""
"小青龙汤","《伤寒论》","经方思路","规则级",""
"左归丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
"左金丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"己椒苈黄丸","《金匮要略》","经方思路","规则级",""
"归肾丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
"当归四逆汤","《伤寒论》","经方思路","规则级",""
"当归生姜羊肉汤","《金匮要略》","经方思路","规则级",""
"当归芍药散","《金匮要略》","经方思路","规则级",""
"抵当汤","《伤寒论》","经方思路","规则级",""
"新加香薷饮","《温病条辨》","温病思路","规则级",""
"旋覆代赭汤","《伤寒论》","经方思路","规则级",""
"暖肝煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"杏苏散","《温病条辨》","温病思路","规则级",""
"枳实芍药散","《金匮要略》","经方思路","规则级",""
"枳实薤白桂枝汤","《金匮要略》","经方思路","规则级",""
"柴胡枳桔汤","《通俗伤寒论》","经方思路","规则级",""
"柴胡桂枝干姜汤","《伤寒论》","经方思路","规则级",""
"柴胡疏肝散","《景岳全书》","温补/扶阳思路","逐首勾选",""
