序号,方名,出处,数据库记录的组成,味数,遮蔽更大方数量,被遮蔽的大方举例,机器裁定理由,【请填】组成是否与该方名相符,【请填】若不符，通行组成是,【请填】备注,规范方名建议,核定依据定位,核定依据链接,证据等级,核定日期
1,消毒丸,《三因极一病证方论》,半夏、茯苓、甘草,3,49,,消毒丸在《三因极一病证方论》中有多种同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 同书确有同名风险；本条按《三因》所定位的消毒丸核对，不与他书同名方混并。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/lilunshuji/sanyinjiyibingzhengfanglun/87114.html,A（古籍全文/PDF定位）,2026-08-09
2,治口舌病方,《集验方》,甘草、川芎、白芷,3,33,,《集验方》中治口舌病方有多种记载，组成不一，无法确认通行组成。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原文是治口中臭的散方条文；数据库题名“治口舌病方”过宽。,治口中臭散方（《集验方》条文）,《集验方》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/lilunshuji/yixinfang/quanben.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
3,神术汤,《古今名医方论》,白术、防风、甘草,3,28,,神术汤在文献中有多种同名异方，无法确认通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 《古今名医方论》本条为白术、防风、甘草；原文另述无汗时白术可易苍术，属证候加减。,,《古今名医方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-082-gujinmingyifanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
4,进退四物汤,《医方简义》,熟地黄、当归、白芍、川芎,4,25,,进退四物汤在《医方简义》中的具体组成不确定，且可能存在同名异方。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方简义》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/zhongyaofang/jintuisiwutang/index.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
5,白术附子汤,《近效方》,白术、甘草、附子,3,20,,《近效方》白术附子汤组成不详，且同名方剂较多，无法确证。,是（定量主药相符；制剂/煎服项另见备注）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条另以生姜、大枣煎服；本表按定量主药判为相符。,,《近效方》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/lilunshuji/yifangjijie/631.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
6,调经方,《惠直堂经验方》,香附、当归身、川芎,3,15,,调经方在《惠直堂经验方》中的具体组成不详，且同名方较多，无法确认。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
7,通脉散,《验方新编》,黄芪、当归、白芷,3,15,,通脉散在《验方新编》中的具体组成不确定，且同名方可能有多首，无法确认黄芪、当归、白芷是否为其通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://culture.pkstate.com/tcm3/yanfangxinbian/2106.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
8,惺惺散,《三因极一病证方论》,石膏、甘草、麻黄,3,13,,惺惺散在中医文献中有多种同名异方，无法确切回忆《三因极一病证方论》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
9,当归黄汤,《三因极一病证方论》,黄芪、当归、芍药,3,12,,当归黄汤在文献中有多种同名异方，无法确切回忆通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
10,生附白术汤,《三因极一病证方论》,附子、干姜、白术、甘草,4,11,,生附白术汤在《三因极一病证方论》中未见明确记载，且同名方剂组成可能不同，无法确认通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
11,黄连养目膏,《惠直堂经验方》,黄连、当归、防风,3,9,,无法确切回忆该方通行组成，且同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
12,曲术汤,《三因极一病证方论》,白术、神曲、甘草,3,9,,曲术汤在《三因极一病证方论》中有多种同名异方，组成不确定，且记录组成可能不完整。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
13,殿胞煎,《成方切用》,当归、川芎、炙甘草、茯苓、肉桂,5,8,,殿胞煎通行组成不明确，无法判断,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
14,六气煎,《成方切用》,黄芪、肉桂、人参、白术、当归、甘草,6,8,,六气煎在《成方切用》中的具体组成不明确，且可能存在同名异方，无法确认一致性。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
