来源,机构,用途,层级,网址
GB/T 16751.2-2021,国家市场监管总局/国家标准委,证候规范名与受控词表,A,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A
国家标准解读,国家市场监管总局,证候分类体系与适用范围,A,https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html
古代经典名方目录（第二批）汉族医药,国家药监局,经典方原文、出处、组成、制法,A,https://www.nmpa.gov.cn/directory/web/nmpa/images/1693558753843040322.pdf
中药处方与医疗机构制剂标准技术审评规范附件,深圳市市场监督管理局,方剂功效、主治、组成标准化参照,A/B,https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf
中医学术流派课程,国家高等教育智慧教育平台,温补学派/温病学派学术边界,B,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325
合方与经方定义文章,中国中医药网,狭义经方口径交叉核验,B,https://cntcm.com.cn/content/202407/03/c253460.html
滋阴学说历史与内涵,中国中医药网,丹溪滋阴取向边界,B,https://www.cntcm.com.cn/content/202306/21/c225799.html
咳嗽病中医诊疗方案（2018年版）,国家中医药管理局优势病种方案公开镜像,风寒/风热/燥邪证候门槛,A/B,https://www.yaopinnet.com/tools/linchuanglujing/zy/zy201800052.pdf
老年人咳嗽诊疗方案（2020年版）,山西省卫生健康委员会,咳嗽针刺基本方与风寒/风热/痰湿/痰热加穴,A,https://wjw.shanxi.gov.cn/tzgg/zcwj/202203/P020220311553533901443.pdf
流行性感冒诊疗方案（2025年版）,国家卫生健康委/国家中医药局,普通感冒与流感分模板边界,A,https://www.nhc.gov.cn/ylyjs/zcwj/202501/f8fcecca59a048bebc4a71847ce57594.shtml
门诊针灸类疾病诊疗方案,威海市人民政府,眩晕、虚劳、胁痛、崩漏的针灸病种可行性与疗程,A/B,https://www.weihai.gov.cn/attach/0/32b75f76872a4a8dbd37744e470d9bd2.pdf
试点中医优势病种临床管理规范（第一版）,上海市卫生健康委/上海市中医药管理局,热淋、劳淋等病种入口与综合疗法边界,A/B,https://www.shanghai.gov.cn/cmsres/10/1093fa7cf6234cfaa40d6ab9c51073ac/2ad2a454996c9aeab2b03f12e3520017.pdf
《伤寒论》《金匮要略》三条方证原文在线回源,识典古籍（原典影像/文本入口）,炙甘草汤、苓桂术甘汤、茯苓桂枝甘草大枣汤关系门槛,B-原典入口,https://www.shidianguji.com/mid-page/7492163540973109299；https://www.shidianguji.com/mid-page/7506268165463179290；https://www.shidianguji.com/mid-page/7512203643061698586
哮病及消渴痹症中医诊疗方案（2017年版）,政府临床路径公开库,哮证分期及消渴并发症专病建模边界,A/B,https://ylbzj.qdn.gov.cn/lclj/zyl/2017b/202207/P020220722355738124368.pdf；https://ylbzj.qdn.gov.cn/lclj/zyl/2017b/202207/P020220727580964689520.pdf
