序号,方名,出处,推导流派,原确认方式,核定建议,核定方式,功效,主治,核定依据,证据层级,证据网址,需医生最终签字,备注
1,七福饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,收复神气；安神魂；敛心气,气血俱虚而心脾为甚者,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：收复神气、安神魂、敛心气、气血俱虚而心脾为甚者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
2,三仁汤,《温病条辨》,温病思路,规则级,是,规则级,宣畅气机；清利湿热,湿温初起，头痛恶寒，身重疼痛，舌白不渴，脉弦细而濡，面色淡黄，胸闷不饥，午后身热，状若阴虚，病难速已,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
3,三子养亲汤,《金匮要略》,经方思路,规则级,是,规则级,温肺化痰；降气消食,痰壅气逆食滞证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
4,三物备急丸,《金匮要略》,经方思路,规则级,是,规则级,攻逐寒积,寒实冷积内停，心腹卒暴胀痛，痛如锥刺，气急口噤，大便不通,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
5,三甲复脉汤,《温病条辨》,温病思路,规则级,是,规则级,滋阴潜镇,温邪深入下焦，热深厥甚，心中憺憺大动，甚或心胸疼痛，脉象细促者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
6,丹溪治湿痰方,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,豁痰除湿；活血调经,痰湿阻滞，月经不调,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：豁痰除湿、活血调经、痰湿阻滞，月经不调,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
7,举元煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补气摄血；升阳举陷,气虚下陷，血崩血脱，亡阳垂危等证,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补气摄血、升阳举陷、气虚下陷，血崩血脱，亡阳垂危等证,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
8,乌头桂枝汤,《金匮要略》,经方思路,规则级,是,规则级,祛寒止痛；散寒解表,寒疝、腹中痛，逆冷，手足不仁，若身疼痛,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
9,乌头汤,《金匮要略》,经方思路,规则级,是,规则级,散寒除湿；除痹止痛,脚部疼痛，不可屈伸。寒湿痹证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
10,乌梅丸,《伤寒论》,经方思路,规则级,是,规则级,温脏驱蛔,脏寒蛔厥证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
11,二妙丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,燥湿清热,用于湿热下注，足膝红肿热痛，下肢丹毒，白带，阴囊湿痒,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：燥湿清热、用于湿热下注，足膝红肿热痛，下肢丹毒，白带，阴囊湿痒,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
12,二妙散,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,清热燥湿,湿热下注，筋骨疼痛，脚膝无力，或足膝红肿热痛或下部湿疮，以及湿热带下，淋浊等症,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：清热燥湿、湿热下注，筋骨疼痛，脚膝无力，或足膝红肿热痛或下部湿疮，以及湿热带下，淋浊等症,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
13,五味消毒饮合大黄牡丹汤,《医宗金鉴》、《金匮要略》,经方思路,规则级,是,规则级,清热解毒；化瘀散结；利湿排脓,热毒炽盛之疔疮痈肿,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
14,五苓散,《伤寒论》,经方思路,规则级,是,规则级,利水渗湿；温阳化气,外有表证，内停水湿，头痛发热，烦渴欲饮，或水入即吐，小便不利，水湿内停的水肿，泄泻，小便不利，以及霍乱头痛，发热，身疼痛，热多欲饮水者，痰饮，脐下动悸，吐涎沫而头眩或短气而咳者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
15,人参健脾丸（汤）,《景岳全书》《证治准绳·类方》,温补/扶阳思路,逐首勾选,是,逐首建议,健脾益气；和胃止泻,脾胃虚弱引起的饮食不化，倒饱嘈杂，恶心呕吐，腹痛便溏，不思饮食，体弱倦怠,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：健脾益气、和胃止泻、脾胃虚弱引起的饮食不化，倒饱嘈杂，恶心呕吐，腹痛便溏，不思饮食，体弱倦怠,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
16,人参归脾丸,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,益气补血；健脾养心,用于气血不足，心悸，失眠，食少乏力，面色萎黄，月经量少，色淡,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：益气补血、健脾养心、用于气血不足，心悸，失眠，食少乏力，面色萎黄，月经量少，色淡,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
17,代赭旋复汤,《伤寒论》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
18,何人饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,益气养血；扶正截疟,疟疾久发不止，气血两虚，寒热时作，稍劳即发，面色萎黄，倦怠乏力，食少自汗，形体消瘦，舌淡，脉缓大而虚者,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：益气养血、扶正截疟、疟疾久发不止，气血两虚，寒热时作，稍劳即发，面色萎黄，倦怠乏力，食少自汗，形体消瘦，舌淡，脉缓大而虚者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
19,保和丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,否,逐首建议,消食和胃,食积停滞，胸脘痞满，腹胀时痛，嗳腐吞酸，恶食或呕吐泄泻，脉滑，舌苔厚腻或黄,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：消食和胃、食积停滞，胸脘痞满，腹胀时痛，嗳腐吞酸，恶食或呕吐泄泻，脉滑，舌苔厚腻或黄,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
20,保阴煎,《景岳全书》,温补/扶阳思路,逐首勾选,留空,逐首建议,养阴清热；凉血止血,阴虚血热之带下淋浊，血崩便血，月经提前,偏滋阴/清热或单纯养血，是否纳入广义景岳温补取向需医生定口径：养阴清热、凉血止血、阴虚血热之带下淋浊，血崩便血，月经提前,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
21,八珍益母汤,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补气血；调月经,月经量少，色淡，经期错后,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补气血、调月经、月经量少，色淡，经期错后,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
22,六味回阳饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,益气回阳；养血救脱,阴阳将脱,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：益气回阳、养血救脱、阴阳将脱,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
23,加减一阴煎,《景岳全书》,温补/扶阳思路,逐首勾选,留空,逐首建议,滋阴养血清热,阴血不足之虚热,偏滋阴/清热或单纯养血，是否纳入广义景岳温补取向需医生定口径：滋阴养血清热、阴血不足之虚热,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
24,加减复脉汤,《温病条辨》,温病思路,规则级,是,规则级,,,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
25,加减葳蕤汤,《重订通俗伤寒论》,经方思路,规则级,是,规则级,滋阴解表,阴虚之体，感受外邪，头痛身热，微恶风寒，咳嗽咽干，痰稠难出，无汗或有汗不多，口渴心烦，舌赤脉数者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
26,加味二妙散,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,清热燥湿；通利筋脉,湿热浸淫证,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：清热燥湿、通利筋脉、湿热浸淫证,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
27,化斑汤,《温病条辨》,温病思路,规则级,是,规则级,清气凉血,温病发热，汗出过多，神昏谵语，皮肤发斑者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
28,化阴煎,《景岳全书》,温补/扶阳思路,逐首勾选,留空,逐首建议,滋肾养阴,水亏阴涸，阳火有余，小便癃闭，淋浊疼痛,偏滋阴/清热或单纯养血，是否纳入广义景岳温补取向需医生定口径：滋肾养阴、水亏阴涸，阳火有余，小便癃闭，淋浊疼痛,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
29,十枣汤,《伤寒论》,经方思路,规则级,是,规则级,攻逐水饮,悬饮或支饮，停于胸胁，咳唾胸胁引痛，心下痞鞕干呕短气，头痛目眩，或胸背掣痛不得息，水肿腹胀，二便不利，属于实证者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
