"序号","方名","出处","目录记录的组成","目录记的芍","处方实际用的芍","实测冲突次数","我方初判","【请填】源文应为(白芍/赤芍/维持原样)","【请填】依据(卷次/原文)"
"1","木通散","三因极一病证方论","当归、栀子仁、赤芍药、赤茯苓、甘草","赤芍","白芍","8","存疑——目录记赤芍药、组成含赤茯苓成对自洽，但模型 8 次全写白芍，需核卷次","赤芍","《三因极一病证方论》该方组成已明载“赤芍药、赤茯苓”；模型连续写白芍不构成原文证据。"
"2","卫生汤","三因极一病证方论","当归、白芍药、黄芪、甘草","白芍","赤芍","8","疑模型错——当归白芍黄芪甘草补血养营，白芍合理","白芍","源方组成明载“白芍药”；当归、黄芪、甘草同用为补血养营结构，模型赤芍应判错。"
"3","犀角地黄汤","备急千金要方","白芍、地黄、牡丹皮、水牛角","白芍","赤芍","5","疑目录错——《千金》原文作「芍药」，本方清热凉血散瘀，注家多作赤芍","维持原样","《千金》原文仅作“芍药”。后世版本分叉：济生/《保婴撮要》作赤芍，《成方切用》《医宗金鉴》又作白芍。原典不足以唯一裁成赤或白，建议保留当前目录值并新增版本别名。"
"4","四物汤","仙授理伤续断秘方","熟地黄、酒当归、白芍、川芎","白芍","赤芍","4","疑模型错——原方补血调血用白芍，教材通行白芍","白芍","《仙授理伤续断秘方·四物汤》明载“白芍药、川当归、熟地黄、川芎”。"
"5","进退四物汤","医方简义","熟地黄、当归、白芍、川芎","白芍","赤芍","4","存疑——四物类，但冲突 4 次","白芍","《医方简义·进退四物汤》明载“熟地、当归、酒炒白芍、川芎”。"
"6","桃红四物汤","妇科冰鉴","生地、当归、白芍、川芎、桃仁十四粒、红花","白芍","赤芍","3","疑目录错——活血化瘀方，多数教材作赤芍","白芍","《医宗金鉴·妇科心法要诀》定义桃红四物汤为四物汤加桃仁、红花；四物汤底方用白芍，目录白芍应保留。"
"7","乌药散","小儿药证直诀","乌药、香附、高良姜、赤芍","赤芍","白芍","1","存疑——冲突仅 1 次","赤芍","《小儿药证真诀》乌药散原文明载：“天台乌药、香附子、高良姜、赤芍药”。"
"8","痛泻要方","丹溪心法","麸炒白术、炒白芍、陈皮、防风","白芍","赤芍","1","疑模型错——柔肝缓急止痛，白芍是方义所在（土中泻木），赤芍无柔肝敛阴之能","白芍","《医方集解·痛泻要方》明载“白术（土炒）、白芍（炒）、陈皮、防风”；模型赤芍应判错。"
"9","人参饮子","医方考","人参、黄芪、麦门冬、当归、甘草、白芍药、五味子","白芍","赤芍","1","存疑——冲突仅 1 次","白芍","《医方考·人参饮子》明载：“人参、黄芪、麦门冬、当归、甘草、白芍药、五味子”。"
"10","荆防四物汤","医宗金鉴","荆芥、防风、当归、地黄、白芍、川芎","白芍","赤芍","1","疑模型错——四物汤基础方，白芍合理","白芍","源方组成已明载白芍；本方为四物汤加荆芥、防风，四物底方的白芍不应被模型改成赤芍。"
