"序号","方名","唯一标识名","出处","章节边界","组成（含古方原量）","药味数","剂型/用法类别","原文用途","是否原书专名","处理类型","替换的原条目","芍药校勘","异文及校勘备注","证据网址"
"1","槐角地榆汤","槐角地榆汤〔《证治准绳·类方》痔门〕","《证治准绳·类方》痔门（四库本总卷三十二）","痔门·下血不止·槐角地榆汤","地榆、槐角、炒白芍药、焦栀子、炒枳壳、黄芩、荆芥、生地黄（煎时加入）","8","汤剂","痔漏，脉芤下血者","是","组成重录","槐角地榆汤（含‘炒白芍菜’的错误记录）","白芍；原文明确作‘白芍药（炒）’","原文前七味未列剂量；生地黄见于‘上入生地黄水煎服’，应计入完整组成但不得臆造剂量。出处应回归《证治准绳》，不挂《外科大成》。","https://ctext.org/wiki.pl?chapter=942116&if=en&remap=gb"
"2","乌雌鸡汤","乌雌鸡汤〔《外台秘要》卷三十三·妊娠一月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠一月","乌雌鸡一只（治如食法）、茯苓一两、吴茱萸一升、芍药三两、白术三两、麦门冬五合（去心）、人参三两、阿胶二两、炙甘草一两、生姜一两","10","汤剂","妊娠一月，寒热惊动、举重腰痛、腹满胞急、卒有所下","是","章节拆分新增","妊娠随月养胎及服药方","《外台》原文作‘芍药’；宋本《卫生家宝产科备要》作‘芍药白者’，可映射白芍但原文层保留‘芍药’","《外台》本茯苓一两；《千金》及宋本转录多作二两，属版本异文，不互相覆盖。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"3","补胎汤","补胎汤〔《外台秘要》卷三十三·妊娠一月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠一月","细辛一两、防风二两、乌梅一升、吴茱萸五合、干地黄一两、白术一两、大麦五合、生姜四两","8","汤剂","曾伤一月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》转录作干地黄、白术各一两；《千金》本多作各三两。一方加人参一两属于加方，不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"4","艾汤","艾汤〔《外台秘要》卷三十三·妊娠二月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠二月","丹参三两、当归二两、人参二两、麻黄二两（去节）、艾叶二两、阿胶二两（炙）、炙甘草一两、大枣十二枚、生姜一两","9","汤剂","妊娠二月中风寒、动摇、腰背强痛、卒有所下、乍寒乍热","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》本名‘艾汤’；《千金》及后世常名‘艾叶汤/鸡艾汤’，且药量存在异文，数据库不得以同名异本覆盖。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"5","黄连汤","黄连汤〔《外台秘要》卷三十三·妊娠二月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠二月","黄连一两、人参一两、吴茱萸五合、生地黄五两、生姜三两","5","汤剂","曾伤二月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","乌梅一升、当归半两均属一方加味，不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"6","雄鸡汤","雄鸡汤〔《外台秘要》卷三十三·妊娠三月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠三月","雄鸡一只（治如食法）、炙甘草二两、人参二两、茯苓二两、阿胶二两、黄芩一两、白术一两、麦门冬五合（去心）、芍药四两、大枣十二枚、生姜一两","11","汤剂","妊娠三月惊恐忧愁、腹满绕脐痛、腰背痛、卒有所下","是","章节拆分新增","妊娠随月养胎及服药方","原文仅作‘芍药’，不强改品种","一方用当归、川芎各二两而不用黄芩、生姜，作为异方保留在备注，不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"7","茯神汤","茯神汤〔《外台秘要》卷三十三·妊娠三月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠三月","茯神一两、丹参一两、龙骨一两、阿胶二两、当归二两、炙甘草二两、人参二两、赤小豆二十一粒、大枣十三枚","9","汤剂","曾伤三月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》电子转录作大枣十三枚；《千金》与《卫生家宝产科备要》作二十一枚，列为版本异文。腰痛加桑寄生不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"8","菊花汤","菊花汤〔《外台秘要》卷三十三·妊娠四月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠四月","菊花如鸡子大一枚、麦门冬一升（去心）、麻黄三两（去节）、阿胶三两（炙）、炙甘草二两、当归二两、人参一两半、生姜五两、半夏二两（洗）、大枣十二枚","10","汤剂","妊娠四月寒热、颈项强痛、腰背腹痛、胎上迫胸、卒有所下","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》本半夏二两；《千金》本多作四两。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"9","调中汤","调中汤〔《外台秘要》卷三十三·妊娠四月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠四月","芍药四两、炙甘草一两、川芎一两、续断一两、生李根白皮三两、柴胡三两、白术三两、乌梅一升、当归一两半、生姜四两、炙厚朴二两、炙枳实二两","12","汤剂","曾伤四月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","《外台》作‘芍药’；《千金》及宋本明确作白芍药，可映射白芍","《外台》本厚朴、枳实各二两；《千金》本多作各三两。半夏二两为一方，不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"10","阿胶汤","阿胶汤〔《外台秘要》卷三十三·妊娠五月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠五月","阿胶四两（炙）、人参一两、麦门冬一升（去心）、生姜六两、吴茱萸一两、旋覆花一两、当归一两、芍药一两、炙甘草一两、黄芩一两","10","汤剂","妊娠五月寒热、头眩呕吐、胎动无常、腹痛欲仆、卒有所下","是","章节拆分新增","妊娠随月养胎及服药方","《外台》作‘芍药’；宋本《卫生家宝产科备要》作‘芍药雪白者’，可映射白芍","《外台》本后六味各一两；《千金》本旋覆花二合、吴茱萸七合、当归芍药甘草黄芩各二两，须作为另一版本保存。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
