方名,网址,状态码,正文命中,页面摘要
柴胡清肝汤,https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%B8%85%E8%82%9D%E6%B1%A4,200,是,柴胡清肝汤_柴胡清肝汤的作用_柴胡清肝汤说明书_柴胡清肝汤的功效_中药柴胡清肝汤配方_医学百科 - 医学百科；柴胡清肝汤_柴胡清肝汤的作用_柴胡清肝汤说明书_柴胡清肝汤的功效_中药柴胡清肝汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 柴胡清肝汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《外科正宗》卷二:柴胡清肝汤 2 《马培之医案》:柴胡清肝汤 3 《外科真铨》卷上:柴胡清肝汤 4 中药方
当归建中汤,https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%BB%BA%E4%B8%AD%E6%B1%A4,200,是,当归建中汤 - 医学百科；当归建中汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 当归建中汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【分类】温里剂-温中祛寒 【组成】 当归 （12克） 桂心 （9克） 芍药 （18克） 生姜 （9克） 大枣 （6枚） 炙甘草 （6克） 【功效】温 补气 血，缓急止痛。 【主治】产后虚羸（lei）不
升麻葛根汤,https://www.yixue.com/%E5%8D%87%E9%BA%BB%E8%91%9B%E6%A0%B9%E6%B1%A4,200,是,升麻葛根汤 - 医学百科；升麻葛根汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 升麻葛根汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 升麻葛根汤 目录 1 出处 2 分类 3 组成 4 方论 5 功用 6 主治 7 用法 8 禁忌 9 方解 10 化裁 11 附方 12 附注 13 文献 14 〖方歌〗 出处 《 太平惠民和剂局方 
黄芪桂枝五物汤,https://www.yixue.com/%E9%BB%84%E8%8A%AA%E6%A1%82%E6%9E%9D%E4%BA%94%E7%89%A9%E6%B1%A4,200,是,黄芪桂枝五物汤 - 医学百科；黄芪桂枝五物汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 黄芪桂枝五物汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 〖别名〗 黄耆 桂枝 五物汤、黄耆汤、黄耆五物汤、桂枝五物汤、五物汤 〖方源〗 《 金匮要略 》卷上。 《金匮要略》“ 血痹 阴阳 俱微，寸口关上微，外证身体不仁，如 风痹 状， 黄芪桂枝五物
六和汤,https://www.yixue.com/%E5%85%AD%E5%92%8C%E6%B1%A4,200,是,六和汤 - 医学百科；六和汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 六和汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 缩砂 、 半夏 （汤洗七次）、 杏仁 （去皮尖）、 人参 （去芦）、 赤茯苓 （去皮）、 藿香 （去土）、 白扁豆 （姜制）、 香薷 、 厚朴 （姜制）、 木瓜 ，各一钱； 炙甘草 ，半钱。 【功能
薏苡附子败酱散,https://www.yixue.com/%E8%96%8F%E8%8B%A1%E9%99%84%E5%AD%90%E8%B4%A5%E9%85%B1%E6%95%A3,200,是,薏苡附子败酱散 - 医学百科；薏苡附子败酱散 - 医学百科 匿名 未登录 登录 医学百科 搜索 薏苡附子败酱散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【组成】 薏苡仁 30克， 附子 6克， 败酱草 15克。 【功用】排脓 消肿 。 【主治】 肠痈 内脓已成，身无热， 肌肤甲错 ， 腹皮 急，按之濡，如肿状。 古籍论 本方是治疗肠痈内脓已成
柴胡桂枝干姜汤,https://www.yixue.com/%E6%9F%B4%E8%83%A1%E6%A1%82%E6%9E%9D%E5%B9%B2%E5%A7%9C%E6%B1%A4,200,是,柴胡桂枝干姜汤 - 医学百科；柴胡桂枝干姜汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 柴胡桂枝干姜汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【来源】《 伤寒论 》。 【组成】 柴胡 24克 桂枝 9克 干姜 3克 栝楼 根12克 黄芩 9克 牡蛎 6克(熬) 甘草 6克(炙) 【用法】以水1.2升，煮取600毫升，去滓，再煎取30
大黄黄连泻心汤,https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%BB%84%E8%BF%9E%E6%B3%BB%E5%BF%83%E6%B1%A4,200,是,大黄黄连泻心汤_大黄黄连泻心汤的作用_大黄黄连泻心汤说明书_大黄黄连泻心汤的功效_中药大黄黄连泻心汤配方_医学百科 - 医学百科；大黄黄连泻心汤_大黄黄连泻心汤的作用_大黄黄连泻心汤说明书_大黄黄连泻心汤的功效_中药大黄黄连泻心汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 大黄黄连泻心汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 明.方贤着《奇效良方》:大黄黄连泻心汤 2 《伤寒论》:大黄黄连泻心汤 3 《云歧
瓜蒌桂枝汤,https://www.yixue.com/%E7%93%9C%E8%92%8C%E6%A1%82%E6%9E%9D%E6%B1%A4,404,否,404；
桂枝麻黄各半汤,https://www.yixue.com/%E6%A1%82%E6%9E%9D%E9%BA%BB%E9%BB%84%E5%90%84%E5%8D%8A%E6%B1%A4,200,是,桂枝麻黄各半汤_桂枝麻黄各半汤的作用_桂枝麻黄各半汤说明书_桂枝麻黄各半汤的功效_中药桂枝麻黄各半汤配方_医学百科 - 医学百科；桂枝麻黄各半汤_桂枝麻黄各半汤的作用_桂枝麻黄各半汤说明书_桂枝麻黄各半汤的功效_中药桂枝麻黄各半汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 桂枝麻黄各半汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 桂枝 5克（去皮） 芍药 生姜 （切） 甘草 （炙） 麻黄 （去节）各3克 大枣 
三化汤,https://www.yixue.com/%E4%B8%89%E5%8C%96%E6%B1%A4,200,是,三化汤_三化汤的作用_三化汤说明书_三化汤的功效_中药三化汤配方_医学百科 - 医学百科；三化汤_三化汤的作用_三化汤说明书_三化汤的功效_中药三化汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 三化汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 明.方贤着《奇效良方》:三化汤 2 《杂问病机气宜保命集》卷中:三化汤 3 中药方专题 3.1 按功效分类的常用方剂 3.2 中药
升陷汤,https://www.yixue.com/%E5%8D%87%E9%99%B7%E6%B1%A4,200,是,升陷汤 - 医学百科；升陷汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 升陷汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【方名】 升陷汤 【出处】 《 医学衷中参西录 》上册。 【分类】 补益剂- 补气 【组成】 生黄芪 （18克） 知母 （9克） 柴胡 （4.5克） 桔梗 （4.5克） 升麻 （3克） 【功用】 益气 升陷。
香苏散,https://www.yixue.com/%E9%A6%99%E8%8B%8F%E6%95%A3,200,是,香苏散 - 医学百科；香苏散 - 医学百科 匿名 未登录 登录 医学百科 搜索 香苏散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【药物组成】 香附 、 苏叶 、 陈皮 、 甘草 、 柴胡 、 桂枝 、 防风 、 羌活 。 【处方来源】《幼科金针》卷上。 【 方剂 主治】 小儿呕吐 。 【用法用量】上加 生姜 3片，水煎，热服。 香苏散
枳实芍药散,https://www.yixue.com/%E6%9E%B3%E5%AE%9E%E8%8A%8D%E8%8D%AF%E6%95%A3,200,是,枳实芍药散_枳实芍药散的作用_枳实芍药散说明书_枳实芍药散的功效_中药枳实芍药散配方_医学百科 - 医学百科；枳实芍药散_枳实芍药散的作用_枳实芍药散说明书_枳实芍药散的功效_中药枳实芍药散配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 枳实芍药散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 枳实 （烧令黑，勿大过） 芍药 各 等分 【制法】 上二味，杵为散。 【功效与作用】 治 产后腹痛 ， 烦
达原饮,https://www.yixue.com/%E8%BE%BE%E5%8E%9F%E9%A5%AE,200,是,达原饮 - 医学百科；达原饮 - 医学百科 匿名 未登录 登录 医学百科 搜索 达原饮 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【方名】 达原饮 【出处】《 温疫论 》 【分类】 和解剂 - 和解少阳 【组成】 槟榔 （6克） 厚朴 （3克） 草果仁 （15克） 知母 （3克） 芍药 （3克） 黄芩 （3克） 甘草 （1.5克） 【功
大黄附子汤,https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%99%84%E5%AD%90%E6%B1%A4,200,是,大黄附子汤 - 医学百科；大黄附子汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 大黄附子汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【方名】 大黄附子汤 【出处】 《 金匮要略 》 【分类】 泻下剂 - 温下 【组成】 大黄（9克） 附子 （12克） 细辛 （3克） 【方论】方中附子、细辛 温经散寒 ，大黄 泻下 通便 。三味合用
