频次,中医病名,裁定建议,实施方式,证据状态,安全闸门,来源
732,痹证/痹症,不新建；扩既有模板命中词,仅在同时出现明确部位或疼痛/麻木事实时转入既有颈肩腰腿痛模板；裸词保持评估态,现有模板已有项痹/肩痹/膝痹/腰痛；泛称痹证跨度过大,排除急性创伤、进行性神经缺损、感染等红旗,既有签字模板；待医生确认命中逻辑
466,眩晕,建议建病种入口,先建诊断与红旗闸门；主穴和证型加减仍待医生签字,政府门诊针灸方案明确列为针灸病种，疗程不超过14天,先排卒中、急性前庭综合征、严重贫血/低血压等,https://www.weihai.gov.cn/attach/0/32b75f76872a4a8dbd37744e470d9bd2.pdf
436,胸痹,暂不自动建模板,保留评估态；只在急性冠脉综合征等红旗排除且诊断明确后进入人工针灸路径,心血管高风险病名，不能靠中医病名直接出穴,胸痛急诊分流、心电图/心肌损伤标志物等先行,需补病种级临床路径并由心血管医生签字
417,胁痛,建议建病种入口,可建入口，不自动填穴；按胆道、肝病、胸膜/肋间神经痛等病因分流,政府门诊针灸方案列入病种，但未提供统一取穴,急腹症、发热黄疸、胸痛呼吸困难先排除,https://www.weihai.gov.cn/attach/0/32b75f76872a4a8dbd37744e470d9bd2.pdf
390,水肿,暂不自动建模板,保留评估态；先按心源性/肾源性/肝源性/静脉性分层,同名病证可对应多种高风险器质性疾病,呼吸困难、少尿、急性肾损伤、心衰、血栓红旗先行,需补病种级权威方案
325,虚劳,仅建议窄口径模板,只覆盖恶性肿瘤术后或放化疗后等来源明确人群；泛称虚劳不自动出穴,政府门诊方案给出的适用范围是恶性肿瘤术后/放化疗后,肿瘤治疗阶段、血象、感染和出血风险评估,https://www.weihai.gov.cn/attach/0/32b75f76872a4a8dbd37744e470d9bd2.pdf
313,心悸,条件建立病种入口,先建心律失常/结构性心脏病红旗闸门，再由医生签主穴和证型加减,可检出官方中医心血管针灸资料，但不足以支持无门槛自动模板,持续心动过速/过缓、晕厥、胸痛、低血压先急诊分流,https://zyj.beijing.gov.cn/ylfw/ysbj/201912/t20191223_1412285.html
219,血证,不建泛病名模板,必须拆为咯血、吐血、便血、尿血、衄血、紫斑等具体场景,血证是病证集合，不是单一针刺适应证,活动性大出血、失血性休克、抗凝相关出血等优先处置,需按出血部位另立路径
215,不孕,条件建立病种入口,可建入口，须在生殖评估后辨证分型；不自动复用痛经/月经不调穴组,官方中医药科普支持辨证针灸，但属于个体化综合治疗证据,先排妊娠、输卵管/排卵/男方因素等；生殖专科签字,https://zyj.beijing.gov.cn/sy/whkp/202603/t20260311_4554363.html
165,鼓胀,暂不自动建模板,保留评估态；按肝硬化腹水等病因处理,可能对应失代偿肝病，不适合仅凭病名自动取穴,腹水感染、消化道出血、肝性脑病、肾功能恶化红旗,需补肝病专科路径
162,淋证,条件建立病种入口,拆分热淋、劳淋等，并绑定尿检/培养及泌尿系统检查,上海官方优势病种规范列有热淋、劳淋及针刺等综合疗法,发热寒战、腰痛、尿潴留、血尿、妊娠等先分流,https://www.shanghai.gov.cn/cmsres/10/1093fa7cf6234cfaa40d6ab9c51073ac/2ad2a454996c9aeab2b03f12e3520017.pdf
153,郁证,条件建立病种入口,先做抑郁/焦虑量表与自伤风险筛查；针刺只作综合治疗路径,缺少本包可直接锁定的统一穴组来源,自杀/自伤意念、躁狂、精神病性症状紧急分流,需补精神心理专科共识
151,崩漏,建议独立入口，不直接并入妇科旧模板,政府门诊针灸方案列为独立病种；取穴与异常子宫出血红旗仍需另签,病种有官方针灸门诊可行性依据，但不能用痛经模板替代,妊娠相关出血、血流动力学不稳、重度贫血先处置,https://www.weihai.gov.cn/attach/0/32b75f76872a4a8dbd37744e470d9bd2.pdf
144,喘证,暂不自动建模板,必须先拆急性发作、慢性稳定期及具体西医病因；当前维持评估态,喘证可对应哮喘/COPD/心衰/肺栓塞等,低氧、呼吸窘迫、胸痛、意识改变先急救,需补呼吸专科针灸指南
121,消渴,仅建议并发症专病模板,不为泛称消渴建立统一穴组；可先做消渴痹症等明确并发症,政府发布的消渴痹症方案提供分证取穴与疗程,低/高血糖急症、足部感染/缺血等先处理,https://ylbzj.qdn.gov.cn/lclj/zyl/2017b/202207/P020220727580964689520.pdf
98,黄疸,暂不自动建模板,保留评估态并按胆道梗阻、肝炎、溶血等病因分流,黄疸是高异质性体征，不能直接映射穴组,发热腹痛、胆管炎、肝衰竭、溶血红旗,需补肝胆专科路径
82,闭经,建议独立入口，不直接并入妇科旧模板,先排妊娠并完成内分泌/器质性评估；取穴另签,闭经与痛经/月经不调不能仅靠命中词视作同一模板,妊娠、垂体/卵巢/子宫因素分流,需补妇科针灸指南
82,痿证,条件建立病种入口,先完成神经定位与病因诊断；证型和穴组由针灸/神经专科共同签字,属于针灸常见病范畴，但泛病名覆盖多种神经肌肉疾病,急性进行性无力、呼吸肌受累、脊髓压迫先急诊,https://wsjkw.cq.gov.cn/zwgk_242/zfxxgkml/zcwj/fzhsxwj/202401/t20240105_12791790.html
77,肺胀,暂不自动建模板,按COPD稳定期/急性加重、肺心病等拆分后再建,泛称肺胀不能区分急性加重和稳定康复,低氧、二氧化碳潴留、呼吸衰竭/心衰先急救,需补呼吸专科指南
74,哮证,条件建立病种入口,只覆盖诊断明确且非急救状态；发作期与缓解期分别建模,政府公开的哮病方案明确分期分证，但本包未取得可直接锁定的统一针刺穴组,严重喘憋、低氧、沉默肺、峰流速显著下降先按急救路径,https://ylbzj.qdn.gov.cn/lclj/zyl/2017b/202207/P020220722355738124368.pdf
