"序号","方名","出处","目录记录的组成","味数","【请填】芍药应为(白芍/赤芍)","【请填】依据(卷次/原文)","【请填】备注"
"1","五发痈疽通治方","外科集验方","漏芦、白蔹、黄芩、麻黄、枳实、升麻、芍药、甘草、朴硝、大黄","10","赤芍","《外科集验方·五发痈疽通治方》漏芦汤原文为“漏芦、白蔹、黄芩、麻黄、枳实、升麻、芍药、甘草、朴硝、大黄”；原文裸写，按痈疽热毒、凉血散瘀方义裁赤芍。","中置信；功能性裁定，建议医生复核后入库。"
"2","五柴胡饮","成方切用","芍药、白术、当归、柴胡、熟地、甘草、陈皮","7","白芍","《成方切用·五柴胡饮》：“芍药（炒）、白术、当归、柴胡、熟地、甘草、陈皮”；炒芍药与熟地、当归同用以培血气，按白芍裁定。","中置信；同方原文未见“白”字，建议医生复核。"
"3","升麻和气饮","三因极一病证方论","苍术、桔梗、升麻、葛根、陈皮、甘草、芍药、半夏、当归、白芷、茯苓、枳壳、厚朴、干姜、大黄","15","白芍","《秘传证治要诀及类方》同方明载：“干姜、升麻、枳壳、桔梗、苍术、陈皮、半夏、茯苓、甘草、当归、白芍、白芷、大黄”。","高置信；同方异本明确，可入库。"
"4","升麻柴胡汤","三因极一病证方论","柴胡、升麻、芍药、栀子仁、木通、黄芩、大青、杏仁、石膏","9","白芍","《脉因证治》同方明载：“升麻、柴胡、白芍、栀子、木通……大青、黄芩、石膏”。","高置信；同方异本明确，可入库。"
"5","四神散","三因极一病证方论","当归、芍药、川芎、干姜","4","白芍","《薛氏医案》四神散：“当归、川芎、芍药（炒）、炮姜”；为四物类产后血虚/瘀血腹痛方，炒用按白芍裁定。","中置信；同方仍裸写“芍药”，建议医生复核。"
"6","圣散子方","三因极一病证方论","草豆蔻、猪苓、石菖蒲、茯苓、高良姜、独活、柴胡、吴茱萸、附子、麻黄、厚朴、藁本、芍药、枳壳、白术、苍术、半夏、泽泻、藿香、防风、细辛、甘草","22","白芍","《伤寒总病论·圣散子方》原文为“……藁本、芍药、枳壳、白术、苍术……”；原文裸写。该方辛温燥烈，芍药用于养阴缓急、制其燥烈，按白芍裁定。","中置信；功能性裁定，且本方历代有误用致害争议，建议医生复核。"
"7","地黄汤","三因极一病证方论","麦门冬、生地黄、人参、茯苓、芍药、葳蕤、石膏、远志、甘草、白术","10","白芍","《三因极一病证方论》目录组成仍为裸“芍药”；与麦冬、生地黄、人参、葳蕤同用，方义偏滋阴养血，按白芍裁定。","中置信；未检得同方明确品种异本，建议医生复核。"
"8","增损乐令汤","三因极一病证方论","黄芪、人参、橘皮、当归、桂心、细辛、前胡、甘草、茯苓、麦门冬、芍药、附子、熟地黄、半夏、远志","15","白芍","《普济方》引危氏增损乐令汤原文仍作“芍药”；主“诸虚不足”，与黄芪、人参、当归、熟地黄同用，按白芍裁定。","中置信；功能性裁定，建议医生复核。"
"9","妊娠随月养胎及服药方","外台》卷三十三","乌雌鸡、茯苓、吴茱萸、芍药、白术、麦门冬、细辛、防风、乌梅、干地黄、大麦、丹参、当归、人参、麻黄、艾叶、阿胶、甘草、大枣、黄连、生地黄、生姜、雄鸡、黄芩、大麦、茯神、龙骨、赤小豆、菊花、半夏、川芎、续断、生李根白皮、柴胡、旋复花、芍药、五味子","37","","暂不裁定：该条为“随月养胎”多月多方合抄，芍药和大麦均重复出现，不能假定两处芍药属于同一处方或同一品种。","暂缓入库；先按月拆分原方并逐方回源。"
"10","徙薪饮","成方切用","黄芩、麦冬、芍药、黄柏、茯苓、丹皮、陈皮","7","白芍","《新方八阵·徙薪饮》原文仍作“芍药”；该方清三焦火而兼养阴，与麦冬同用，按景岳方意裁白芍。","中置信；同方原文未见“白”字，建议医生复核。"
